Block/Day/State Update,Txs/State Updates,Project
16194,145,zkSync
16195,143,zkSync
16196,139,zkSync
16197,140,zkSync
16198,136,zkSync
16199,132,zkSync
16200,152,zkSync
16201,134,zkSync
16202,145,zkSync
16203,153,zkSync
16204,163,zkSync
16205,138,zkSync
16206,148,zkSync
16207,130,zkSync
16208,167,zkSync
16209,138,zkSync
16210,145,zkSync
16211,161,zkSync
16212,117,zkSync
16213,140,zkSync
16214,145,zkSync
16215,149,zkSync
16216,142,zkSync
16217,148,zkSync
16218,152,zkSync
16219,138,zkSync
16220,121,zkSync
16221,156,zkSync
16222,142,zkSync
16223,130,zkSync
16224,140,zkSync
16225,138,zkSync
16226,145,zkSync
16227,99,zkSync
16228,142,zkSync
16229,137,zkSync
16230,155,zkSync
16231,127,zkSync
16232,122,zkSync
16233,142,zkSync
16234,153,zkSync
16235,135,zkSync
16236,139,zkSync
16237,146,zkSync
16238,124,zkSync
16239,124,zkSync
16240,127,zkSync
16241,141,zkSync
16242,147,zkSync
16243,118,zkSync
16244,141,zkSync
16245,99,zkSync
16246,109,zkSync
16247,140,zkSync
16248,143,zkSync
16249,138,zkSync
16250,123,zkSync
16251,172,zkSync
16252,136,zkSync
16253,146,zkSync
16254,128,zkSync
16255,140,zkSync
16256,133,zkSync
16257,131,zkSync
16258,116,zkSync
16259,119,zkSync
16260,147,zkSync
16261,147,zkSync
16262,128,zkSync
16263,147,zkSync
16264,153,zkSync
16265,135,zkSync
16266,135,zkSync
16267,138,zkSync
16268,130,zkSync
16269,161,zkSync
16270,179,zkSync
16271,136,zkSync
16272,141,zkSync
16273,149,zkSync
16274,151,zkSync
16275,134,zkSync
16276,169,zkSync
16277,163,zkSync
16278,152,zkSync
16279,125,zkSync
16280,135,zkSync
16281,116,zkSync
16282,96,zkSync
16283,141,zkSync
16284,121,zkSync
16285,148,zkSync
16286,152,zkSync
16287,139,zkSync
16288,147,zkSync
16289,126,zkSync
16290,106,zkSync
16291,175,zkSync
16292,107,zkSync
16293,132,zkSync
16294,151,zkSync
16295,133,zkSync
16296,151,zkSync
16297,121,zkSync
16298,142,zkSync
16299,150,zkSync
16300,137,zkSync
16301,151,zkSync
16302,138,zkSync
16303,130,zkSync
16304,153,zkSync
16305,161,zkSync
16306,142,zkSync
16307,150,zkSync
16308,106,zkSync
16309,107,zkSync
16310,128,zkSync
16311,124,zkSync
16312,167,zkSync
16313,131,zkSync
16314,126,zkSync
16315,166,zkSync
16316,129,zkSync
16317,157,zkSync
16318,133,zkSync
16319,114,zkSync
16320,148,zkSync
16321,159,zkSync
16322,157,zkSync
16323,140,zkSync
16324,124,zkSync
16325,112,zkSync
16326,157,zkSync
16327,95,zkSync
16328,116,zkSync
16329,140,zkSync
16330,142,zkSync
16331,95,zkSync
16332,117,zkSync
16333,104,zkSync
16334,182,zkSync
16335,122,zkSync
16336,137,zkSync
16337,150,zkSync
16338,122,zkSync
16339,143,zkSync
16340,176,zkSync
16341,137,zkSync
16342,137,zkSync
16343,133,zkSync
16344,172,zkSync
16345,147,zkSync
16346,115,zkSync
16347,140,zkSync
16348,84,zkSync
16349,138,zkSync
16350,145,zkSync
16351,122,zkSync
16352,147,zkSync
16353,144,zkSync
16354,105,zkSync
16355,103,zkSync
16356,125,zkSync
16357,140,zkSync
16358,146,zkSync
16359,158,zkSync
16360,136,zkSync
16361,126,zkSync
16362,127,zkSync
16363,161,zkSync
16364,151,zkSync
16365,137,zkSync
16366,131,zkSync
16367,146,zkSync
16368,138,zkSync
16369,156,zkSync
16370,134,zkSync
16371,144,zkSync
16372,143,zkSync
16373,144,zkSync
16374,151,zkSync
16375,157,zkSync
16376,118,zkSync
16377,153,zkSync
16378,158,zkSync
16379,123,zkSync
16380,132,zkSync
16381,100,zkSync
16382,165,zkSync
16383,132,zkSync
16384,120,zkSync
16385,149,zkSync
16386,151,zkSync
16387,118,zkSync
16388,155,zkSync
16389,148,zkSync
16390,135,zkSync
16391,172,zkSync
16392,150,zkSync
16393,177,zkSync
16394,123,zkSync
16395,124,zkSync
16396,172,zkSync
16397,153,zkSync
16398,161,zkSync
16399,141,zkSync
16400,150,zkSync
16401,155,zkSync
16402,116,zkSync
16403,144,zkSync
16404,139,zkSync
16405,135,zkSync
16406,135,zkSync
16407,163,zkSync
16408,113,zkSync
16409,165,zkSync
16410,157,zkSync
16411,95,zkSync
16412,173,zkSync
16413,154,zkSync
16414,146,zkSync
16415,174,zkSync
16416,151,zkSync
16417,131,zkSync
16418,158,zkSync
16419,143,zkSync
16420,139,zkSync
16421,89,zkSync
16422,155,zkSync
16423,156,zkSync
16424,122,zkSync
16425,131,zkSync
16426,143,zkSync
16427,151,zkSync
16428,138,zkSync
16429,151,zkSync
16430,130,zkSync
16431,114,zkSync
16432,136,zkSync
16433,133,zkSync
16434,132,zkSync
16435,96,zkSync
16436,134,zkSync
16437,147,zkSync
16438,129,zkSync
16439,155,zkSync
16440,149,zkSync
16441,113,zkSync
16442,135,zkSync
16443,149,zkSync
16444,142,zkSync
16445,152,zkSync
16446,138,zkSync
16447,165,zkSync
16448,130,zkSync
16449,118,zkSync
16450,133,zkSync
16451,152,zkSync
16452,125,zkSync
16453,177,zkSync
16454,111,zkSync
16455,144,zkSync
16456,126,zkSync
16457,148,zkSync
16458,119,zkSync
16459,172,zkSync
16460,132,zkSync
16461,131,zkSync
16462,130,zkSync
16463,178,zkSync
16464,125,zkSync
16465,121,zkSync
16466,142,zkSync
16467,128,zkSync
16468,120,zkSync
16469,161,zkSync
16470,137,zkSync
16471,138,zkSync
16472,162,zkSync
16473,132,zkSync
16474,147,zkSync
16475,148,zkSync
16476,134,zkSync
16477,133,zkSync
16478,150,zkSync
16479,161,zkSync
16480,171,zkSync
16481,112,zkSync
16482,156,zkSync
16483,123,zkSync
16484,125,zkSync
16485,169,zkSync
16486,137,zkSync
16487,149,zkSync
16488,151,zkSync
16489,148,zkSync
16490,133,zkSync
16491,99,zkSync
16492,125,zkSync
16493,142,zkSync
16494,161,zkSync
16495,140,zkSync
16496,171,zkSync
16497,158,zkSync
16498,84,zkSync
16499,108,zkSync
16500,144,zkSync
16501,152,zkSync
16502,121,zkSync
16503,149,zkSync
16504,95,zkSync
16505,121,zkSync
16506,122,zkSync
16507,112,zkSync
16508,164,zkSync
